name,vulnerability,date_start,date_end,Unknown,primary source,secondary source,,,,,,,,,,,,,,,,,,,
admin@338,CVE-2012-0158,2013-10,2013-10,no,https://www.fireeye.com/blog/threat-research/2013/10/know-your-enemy-tracking-a-rapidly-evolving-apt-actor.html,,,,,,,,,,,,,,,,,,,,
admin@338,Spearphishing Attachment,2013-10,2013-10,"no
",https://www.fireeye.com/blog/threat-research/2013/10/know-your-enemy-tracking-a-rapidly-evolving-apt-actor.html,,,,,,,,,,,,,,,,,,,,
admin@338,CVE-2012-0158,2015-08,2015-08,no,https://www.fireeye.com/blog/threat-research/2015/11/china-based-threat.html,,,,,,,,,,,,,,,,,,,,
admin@338,Spearphishing Attachment,2015-08,2015-08,no,https://www.fireeye.com/blog/threat-research/2015/11/china-based-threat.html,,,,,,,,,,,,,,,,,,,,
admin@338,CVE-2009-4324,2009-12,2009-12,no,https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/rpt-poison-ivy.pdf,,,,,,,,,,,,,,,,,,,,
admin@338,Spearphishing Attachment,2009-12,2009-12,no,https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/rpt-poison-ivy.pdf,,,,,,,,,,,,,,,,,,,,
APT12,CVE-2011-0609,2011-02,2011-02,yes,https://contagiodump.blogspot.com/2011/03/cve-2011-0609-adobe-flash-player.html,https://www.trendmicro.de/cloud-content/us/pdfs/security-intelligence/white-papers/wp_ixeshe.pdf,,,,,,,,,,,,,,,,,,,
APT12,Spearphishing Attachment,2011-02,2011-02,no,https://contagiodump.blogspot.com/2011/03/cve-2011-0609-adobe-flash-player.html,https://www.trendmicro.de/cloud-content/us/pdfs/security-intelligence/white-papers/wp_ixeshe.pdf,,,,,,,,,,,,,,,,,,,
APT12,CVE-2016-0189,2016-11,2016-11,no,https://www.zscaler.com/blogs/research/cnacom-open-source-exploitation-strategic-web-compromise,,,,,,,,,,,,,,,,,,,,
APT12,CVE-2015-0116,2016-11,2016-11,no,https://www.zscaler.com/blogs/research/cnacom-open-source-exploitation-strategic-web-compromise,,,,,,,,,,,,,,,,,,,,
APT12,Drive-by Compromise,2016-11,2016-11,no,https://www.zscaler.com/blogs/research/cnacom-open-source-exploitation-strategic-web-compromise,,,,,,,,,,,,,,,,,,,,
APT12,Unknown,2013-09,2013-09,no,https://thehackernews.com/2013/11/Japanese-Ichitaro-zero-day-vulnerability-CVE-2013-5990.html,,,,,,,,,,,,,,,,,,,,
APT12,CVE-2013-5990,2013-09,2013-09,"yes
",https://www.symantec.com/connect/blogs/yet-another-zero-day-japan-hit-ichitaro-vulnerability,https://thehackernews.com/2013/11/Japanese-Ichitaro-zero-day-vulnerability-CVE-2013-5990.html,,,,,,,,,,,,,,,,,,,
APT12,CVE-2012-0158,2014-08,2014-08,no,https://www.fireeye.com/blog/threat-research/2014/09/darwins-favorite-apt-group-2.html,,,,,,,,,,,,,,,,,,,,
APT12,Spearphishing Attachment,2014-08,2014-08,no,https://www.fireeye.com/blog/threat-research/2014/09/darwins-favorite-apt-group-2.html,,,,,,,,,,,,,,,,,,,,
APT12,CVE-2011-0611,2011-04,2011-04,yes,https://contagiodump.blogspot.com/2011/04/apr-20-cve-2011-0611-pdf-swf-chinas.html,,,,,,,,,,,,,,,,,,,,
APT12,Spearphishing Attachment,2011-04,2011-04,no,https://contagiodump.blogspot.com/2011/04/apr-20-cve-2011-0611-pdf-swf-chinas.html,,,,,,,,,,,,,,,,,,,,
APT16,CVE-2015-2545,2015-11,2016-1,no,https://www.kaspersky.com/about/press-releases/2016_danti-and-co--cyberespionage-groups-use-a-single-vulnerability-to-target-organizations-around-the-world,,,,,,,,,,,,,,,,,,,,
APT16,Spearphishing Attachment,2015-11,2016-1,no,https://www.kaspersky.com/about/press-releases/2016_danti-and-co--cyberespionage-groups-use-a-single-vulnerability-to-target-organizations-around-the-world,,,,,,,,,,,,,,,,,,,,
APT16,CVE-2015-1701,2015-11,2016-1,no,https://malpedia.caad.fkie.fraunhofer.de/actor/apt_16,,,,,,,,,,,,,,,,,,,,
APT16,Spearphishing Attachment,2015-11,2016-1,no,https://malpedia.caad.fkie.fraunhofer.de/actor/apt_16,,,,,,,,,,,,,,,,,,,,
